contentId,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
6031953227014493100,O chefe é gay. E daí?,A saga do jovem CEO da Dasa,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",O que é liderança? Liderança é fazer a diversidade funcionar.,"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
-7638840925036528150,Introducing Docker for Windows Server 2016 - Docker Blog,"Use Docker to build, test and push your Artifacts",containerd - a core container runtime project for the industry - Docker Blog,Labelling automated builds on Docker Hub - Microscaling Systems,"Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT","Docker - Build, Ship, and Run Any App, Anywhere"
-1676378465482420452,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Blockchain Will Be Used By 15% of Big Banks By 2017,Where is the bank's digital vision? - Chris Skinner's blog,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain startup R3 cuts fund-raising target to $150 million: source
-1150591229250318592,Digitization and The Loss of Iconography - Posted by SYPartners,Understanding User Psychology: Thinking Like a Game Designer,Marketing To Millennials: 'Dope' Takeaways From 'Just Dance 2017',Introducing Ask a Female Engineer,What to look for in a code review ,Having Children Destroyed My Career
-2487699318115820990,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",Google's Cloud Machine Learning service is now in public beta,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",Google's new translation software is almost as good as human translators,Google Home brings Google's smarts to your living room
8900292750226176660,"A Neural Network for Machine Translation, at Production Scale",Google's new translation software is almost as good as human translators,"Google Cloud Machine Learning family grows with new API, editions and pricing",Why Deep Learning Is Suddenly Changing Your Life,Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta
6817244649248188271,Desenvolvimento de Aplicativos Mobile com Xamarin -,"Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza",Introducing Docker for Windows Server 2016 - Docker Blog,"Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT",Comment: IBM's Apple deployment stats should be a lesson to enterprise companies everywhere,Curso mbed na KL25Z - Primeiros passos - Embarcados
-885886002174762919,"Onion Creates a $5 Linux Computer with Wi-Fi, Designed for IoT Applications",The new 64-bit Orange Pi is a quad-core computer for $20,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Asus ready to take bite of 'Pi' market with Tinker micro PC,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack
6006800146436649545,​Kubernetes 1.4: One DevOps tool to rule all the containers | ZDNet,Google Cloud Platform sets a course for new horizons,Using TensorFlow and JupyterHub in Classrooms,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",8 must-see sessions for application developers at Google Cloud Next '17,"Docker - Build, Ship, and Run Any App, Anywhere"
-3231932874544830919,Facebook vai lançar sua nova rede social corporativa no mês que vem,Como o Trello foi de 4 a 17 milhões de usuários,"Facebook lança Workplace, versão da rede social para empresas",Especialistas trazem tendências de UX para 2017 - KingHost,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
-7442296890640709658,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Today in Apple history: iCloud takes our files and photos to the sky | Cult of Mac
-6570327055377820618,Baidu Research grills AI models on deep learning,"AI Pioneer Yoshua Bengio Is Launching Element.AI, a Deep-Learning Incubator",Why Deep Learning Is Suddenly Changing Your Life,Machine Learning Is No Longer Just for Experts,Google Is in a Fierce Global Race for Scarce AI Talent,How real businesses are using machine learning
-1897853393557630253,Your health insurance might score you an Apple Watch,Review: Apple Watch Series 2 | MacMagazine.com.br,Taking the Apple Watch Nike+ for a spin,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Lessons from Becoming a Data-Driven Organization,How Mobile Health Apps and Wearables Could Actually Make People Sicker
8734156751308150579,Bitcoin Accepted! German Energy Giant Enables Payments - CCN: Financial Bitcoin & Cryptocurrency News,4 Blockchain Macro Trends: Where to Place Your Bets,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,"Facebook Messenger now supports PayPal payments in bots, will track your PayPal receipts",Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk
-3179358869851478234,Not Your Father's Insurance Industry - Insurance Thought Leadership,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The new tech talent you need to succeed in digital,A smart home is where the bot is,Digital Tool as Strategic Enabler for Banking Transformation
-6761163882540291832,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Como o Trello foi de 4 a 17 milhões de usuários,Especialistas trazem tendências de UX para 2017 - KingHost,"SINAIS do FUTURO imediato: #1, internet das coisas"
679005777543560737,Mastercard libera APIs para quem quer desenvolver novas fintechs,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Mastercard disponibiliza autenticação de pagamento por ""selfie"" no Brasil e México - Startupi","IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",Especialistas trazem tendências de UX para 2017 - KingHost
-8052188270551570124,Google lança novos recursos para o Analytics,Especialistas trazem tendências de UX para 2017 - KingHost,Como o Trello foi de 4 a 17 milhões de usuários,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Black Friday salva o ano do e-commerce,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
